rank,mark,wind,competitor,nationality,position,venue,date,result_score,discipline,type,sex,age_cat,normalized_discipline,track_field,mark_numeric,venue_country,season
373,3:24.85,,Georgia,INT,2f2,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",2025-05-17,1182.0,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,204.85,USA,2025
374,3:24.86,,Russia,RUS,3h2,"Olympic Stadium, Atlanta, GA (USA)",1996-08-02,1182.0,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,204.86,USA,1996
374,3:24.86,,France,FRA,3h2,"National Stadium, Beijing (CHN)",2015-08-29,1182.0,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,204.86,CHN,2015
374,3:24.86,,South Carolina,INT,6,"Hayward Field, Eugene, OR (USA)",2024-06-08,1182.0,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,204.86,USA,2024
377,3:24.87,,Jamaica,JAM,2h1,"Commonwealth Stadium, Edmonton (CAN)",2001-08-11,1182.0,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,204.87,CAN,2001
377,3:24.87,,Jamaica,JAM,2,"Queensland Sport and Athletics Centre, Nathan, Brisbane (AUS)",2001-09-07,1182.0,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,204.87,AUS,2001
379,3:24.89,,Great Britain & NI,GBR,22,"The Bahamas National Stadium, Nassau (BAH)",2024-05-04,1182.0,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,204.89,BAH,2024
379,3:24.89,,Great Britain & NI,GBR,2,"Omnisport, Apeldoorn (NED) (i)",2025-03-09,1207.0,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,204.89,NED,2025
381,3:24.91,,Russia,RUS,1,"Olimpiyskiy Stadion, Moskva (RUS) (i)",2006-03-12,1207.0,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,204.91,RUS,2006
381,3:24.91,,Cuba,CUB,2,La Habana (CUB),1991-08-11,1182.0,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,204.91,CUB,1991
383,3:24.92,,United States,USA,1h1,"National Stadium, Tokyo (JPN)",1991-08-31,1181.0,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,204.92,JPN,1991
383,3:24.92,,Belgium,BEL,4h1,"Stade de France, Paris (FRA)",2024-08-09,1181.0,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,204.92,FRA,2024
383,3:24.92,,Jamaica,JAM,1h2,"Stade de France, Paris (FRA)",2024-08-09,1181.0,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,204.92,FRA,2024
383,3:24.92,,Jamaica,JAM,2h1,"Olympic Stadium, Athina (GRE)",2004-08-27,1181.0,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,204.92,GRE,2004
383,3:24.92,,Russia,RUS,3,"Commonwealth Stadium, Edmonton (CAN)",2001-08-12,1181.0,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,204.92,CAN,2001
388,3:24.93,,Poland,POL,6,"Nemzeti Atlétikai Központ, Budapest (HUN)",2023-08-27,1181.0,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,204.93,HUN,2023
389,3:24.94,,Federal Republic of Germany,FRG,5,"Stadio Olimpico, Roma (ITA)",1987-09-06,1181.0,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,204.94,ITA,1987
389,3:24.94,,Canada,CAN,3h2,"Estádio Olímpico, Rio de Janeiro (BRA)",2016-08-19,1181.0,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,204.94,BRA,2016
